☆【外部用】日常生活におけるデジタル技術に対する意識や感情調査
Timestamp,あなたの性別を教えてください。,あなたの年代を教えてください。,"運転の自動化
　補足： あなたが免許を持ち、自動車を日常的に利用していると仮定してください。その際、自動運転車がすべての運転操作を行う状況を想定してください。 ","決済のデジタル化
　補足: コンビニやスーパー、レストランで、現金ではなくクレジットカードやスマートフォンによる決済が一般的になっている場面を想定してください。  ","家事の自動化
　補足: 自宅での掃除や料理、洗濯などの家事を、ロボットやAIが完全に自動で行う状況を想定してください。  ","医療診断のデジタル化
　補足: 病院で医師ではなくAIが診察を行い、診断結果を提示して治療法を提案する場面を想定してください。 ","教育のデジタル化  
　補足: 学校の授業がAIによって進行される、もしくはオンラインでのみ授業が行われる教育環境を想定してください。  ","物流の自動化
　補足: ネットショッピングで注文した商品が、人間ではなくドローンや自動運転車によって自宅まで配送される場面を想定してください。 ","農業のデジタル化
　補足: AIやセンサー技術を活用した農業機械が、種まきや収穫の作業をサポートする場面を想定してください。  ","人事管理のデジタル化
　補足：あなたが働いている職場で、AIが仕事の評価や昇進の決定を行う場面を想定してください。  ","法律業務のデジタル化
　補足: あなたが社会人として働いている際、弁護士に依頼せず、AIが契約書の作成や法的助言を提供する場面を想定してください。  ","芸術のデジタル化
　補足: 展覧会やコンサートで発表される作品が、すべてAIによって制作されたものだとする場面を想定してください。  "
2025/01/18 8:44:43 PM GMT+9,女性,20代,否定的（No）,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/18 8:46:18 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 8:49:41 PM GMT+9,女性,10代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 8:50:01 PM GMT+9,男性,20代,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 8:57:56 PM GMT+9,女性,20代,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 8:58:48 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 9:06:08 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 9:07:31 PM GMT+9,女性,20代,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 9:07:43 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:08:51 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:10:56 PM GMT+9,男性,10代,否定的（No）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:11:19 PM GMT+9,回答したくない,20代,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）
2025/01/18 9:12:53 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 9:13:47 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,否定的（No）,否定（No）,否定（No）,否定（No）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 9:13:59 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:16:43 PM GMT+9,男性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:17:04 PM GMT+9,男性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,否定（No）,否定（No）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 9:21:19 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,否定的（No）,否定的（No）
2025/01/18 9:26:36 PM GMT+9,女性,20代,否定的（No）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,否定的（No）,肯定的（Yes）,否定的（No）
2025/01/18 9:27:38 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
2025/01/18 9:29:33 PM GMT+9,女性,20代,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定（No）,否定（No）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,肯定的（Yes）,否定的（No）
